"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Dmkn",9.27147048917162e-06,0.397351441305403,0.273,0.033,0.15109715456203
"Igfbp2",9.89263937542884e-06,-1.97972884505474,0.545,0.972,0.161220343901364
"Appl2",1.00668958059546e-05,1.25489561266148,0.909,0.424,0.164060200949643
"Tspoap1",1.02674231002506e-05,0.297184529485442,0.273,0.032,0.167328194264785
"Cldn5",1.05203424748433e-05,-1.71277344436009,0.818,0.969,0.171450021312522
"Cfap44",1.05679760861364e-05,1.22833871635002,0.545,0.138,0.172226306275765
"6820408C15Rik",1.05994452293994e-05,0.978845544453984,0.545,0.132,0.172739158903523
"Cd14",1.07518404166091e-05,0.826060767256176,0.909,0.364,0.175222743269479
"Tppp3",1.10078065454731e-05,1.69885305676848,1,0.993,0.179394223271576
"Ttc25",1.11632701950998e-05,0.651408415934769,0.455,0.091,0.181927814369542
"Eng",1.11841148197426e-05,-1.39878562078028,0.727,0.961,0.182267519217345
"Calml3",1.12623573885972e-05,0.770081785305382,0.364,0.058,0.183542638361969
"Whamm",1.16504112279685e-05,0.632644136537349,0.818,0.256,0.189866751782203
"Eppk1",1.20105995628345e-05,0.871771277442379,0.818,0.313,0.195736741075515
"Zmynd10",1.20563258720073e-05,0.575785607633283,0.455,0.088,0.196481942736103
"Vps33b",1.21836061963346e-05,0.537013782103593,0.545,0.12,0.198556230181665
"Trf",1.24859509458756e-05,1.4887333581236,1,0.92,0.203483542564935
"Zfp750",1.2627692817482e-05,0.453682441220069,0.364,0.057,0.205793509846504
"Ccdc114",1.26460982326216e-05,0.667157441584904,0.545,0.127,0.206093462897034
"Ak8",1.27552246578122e-05,0.498094663169521,0.455,0.086,0.207871896248366
"Ropn1l",1.29192360285574e-05,0.416618116984913,0.455,0.083,0.2105447895574
"Mfap4",1.32426607105821e-05,-1.60154322669873,0.727,0.961,0.215815641600357
"9130230L23Rik",1.33358085597783e-05,0.300343486387783,0.273,0.033,0.217333672098706
"Zc2hc1c",1.33358085597783e-05,0.300343486387783,0.273,0.033,0.217333672098706
"Tkfc",1.35665221382417e-05,0.366123056653811,0.364,0.056,0.221093611286926
"Zdhhc13",1.38656731349465e-05,0.36488787246801,0.364,0.056,0.225968875080223
"Ccdc181",1.39266950069359e-05,0.73174552500344,0.636,0.179,0.226963348528034
